"Nome do projeto","OrbitGestão"
"Intervalo de datas","02/20/2026 00:00 - 05/20/2026 23:59"


"URL visitada começa com","https://orbitgestao.com.br/"

"Exibições de página","18104"
"Total de cliques","27144"

"Métrica","Click"

"Classificar","Botão","Cliques"," % de cliques"
"403","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(12)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","2","0,01%"
"404","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(2)>DIV.pq-card__content:nth-of-type(1)>H3:nth-of-type(1)","2","0,01%"
"405","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.reframe-transition:nth-of-type(2)>DIV.reframe-transition__badge:nth-of-type(2)>SPAN:nth-of-type(1)","2","0,01%"
"406","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(2)>DIV:nth-of-type(5)","2","0,01%"
"407","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__text:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"408","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(2)>A:nth-of-type(1)>DIV:nth-of-type(1)>H3:nth-of-type(1)","2","0,01%"
"409","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)","2","0,01%"
"410","#orbitHub>DIV.orbit-hub__node:nth-of-type(5)>DIV.orbit-hub__node-icon:nth-of-type(1)","2","0,01%"
"411","#orbitHub>DIV.orbit-hub__node:nth-of-type(12)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__tags:nth-of-type(5)>SPAN.orbit-node-card__tag:nth-of-type(1)","2","0,01%"
"412","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid:nth-of-type(2)>A.pq-card:nth-of-type(1)>DIV.pq-card__content:nth-of-type(1)>SPAN.pq-card__link:nth-of-type(1)","2","0,01%"
"413","#solucoes>DIV.container:nth-of-type(1)>DIV.solutions-carousel__header:nth-of-type(1)>H2:nth-of-type(1)","2","0,01%"
"414","#waArrowLeft>I.fas.fa-chevron-left:nth-of-type(1)","2","0,01%"
"415","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--orbit:nth-of-type(3)>DIV.cost-item:nth-of-type(3)","2","0,01%"
"416","#orbitHub>DIV.orbit-hub__node:nth-of-type(13)>DIV.orbit-node-card:nth-of-type(4)","2","0,01%"
"417","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(6)>A:nth-of-type(1)>DIV:nth-of-type(1)","2","0,01%"
"418","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)","2","0,01%"
"419","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)","2","0,01%"
"420","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(5)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","2","0,01%"
"421","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-validate:nth-of-type(2)>DIV.hiw-validate-screen:nth-of-type(1)>DIV.hiw-validate-list:nth-of-type(2)>DIV.hiw-validate-item:nth-of-type(3)","2","0,01%"
"422","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-form:nth-of-type(2)>DIV.hiw-form-mockup:nth-of-type(1)>DIV.hiw-form-mockup__body:nth-of-type(2)>DIV.hiw-form-btn:nth-of-type(4)","2","0,01%"
"423","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(4)","2","0,01%"
"424","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(3)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","2","0,01%"
"425","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(2)","2","0,01%"
"426","#contato-form>DIV.container:nth-of-type(1)>DIV.cta-form-grid:nth-of-type(1)","2","0,01%"
"427","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>DIV.mobile-menu:nth-of-type(2)>DIV.mobile-menu__body:nth-of-type(2)>A:nth-of-type(1)>SPAN:nth-of-type(1)","2","0,01%"
"428","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header.scrolled:nth-of-type(1)","2","0,01%"
"429","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>DIV.platform-panel__badge:nth-of-type(1)","2","0,01%"
"430","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)","2","0,01%"
"431","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(2)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(2)","2","0,01%"
"432","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(10)>A:nth-of-type(1)>IMG:nth-of-type(1)","2","0,01%"
"433","#orbitHub>DIV.orbit-hub__node:nth-of-type(13)>DIV.orbit-hub__node-label:nth-of-type(2)","2","0,01%"
"434","#para-quem>DIV.container:nth-of-type(1)>DIV.pq-grid.revealed:nth-of-type(2)","2","0,01%"
"435","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(3)>SPAN.cost-item__label:nth-of-type(1)","2","0,01%"
"436","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(5)","2","0,01%"
"437","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)","2","0,01%"
"438","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(7)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","2","0,01%"
"439","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)>DIV:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"440","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(1)>DIV.platform-panel__content:nth-of-type(1)","2","0,01%"
"441","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(4)>P.testi-quote:nth-of-type(1)","2","0,01%"
"442","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-total:nth-of-type(14)>SPAN.cost-total__label:nth-of-type(1)","2","0,01%"
"443","#orbitHub>DIV.orbit-hub__center:nth-of-type(1)>DIV.orbit-hub__name:nth-of-type(3)","2","0,01%"
"444","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(11)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>A.btn.btn-primary:nth-of-type(1)","2","0,01%"
"445","#conhecimento>DIV.container:nth-of-type(1)>DIV.section-header:nth-of-type(1)>H2:nth-of-type(1)","2","0,01%"
"446","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>DIV.social-hover:nth-of-type(2)>A.social-hover__item:nth-of-type(2)","2","0,01%"
"447","#waPhones>DIV.wa-device:nth-of-type(1)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--right.wa-row--hidden:nth-of-type(4)>DIV.wa-bubble.wa-bubble--green:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"448","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-validate:nth-of-type(2)>DIV.hiw-validate-screen:nth-of-type(1)>DIV.hiw-validate-list:nth-of-type(2)>DIV.hiw-validate-item:nth-of-type(3)>SPAN.hiw-validate-item__badge.hiw-validate-item__badge--adjust:nth-of-type(2)","2","0,01%"
"449","#waPhones>DIV.wa-device:nth-of-type(3)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left.wa-row--hidden:nth-of-type(5)>DIV.wa-bubble.wa-bubble--dark:nth-of-type(1)>P:nth-of-type(1)","2","0,01%"
"450","#orbitHub>DIV.orbit-hub__node:nth-of-type(3)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__tags:nth-of-type(5)>SPAN.orbit-node-card__tag:nth-of-type(2)","2","0,01%"
"451","#waPhones>DIV.wa-device:nth-of-type(1)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)","2","0,01%"
"452","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(11)","2","0,01%"
"453","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro.revealed:nth-of-type(1)","2","0,01%"
"454","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.stats-banner:nth-of-type(11)>DIV.container:nth-of-type(1)>DIV.stats-banner__grid:nth-of-type(1)>DIV.stats-banner__item:nth-of-type(1)>SPAN.stats-banner__label:nth-of-type(2)","1","0,00%"
"455","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-form:nth-of-type(2)>DIV.hiw-form-mockup:nth-of-type(1)>DIV.hiw-form-mockup__body:nth-of-type(2)>DIV.hiw-form-field:nth-of-type(1)>DIV.hiw-form-field__input:nth-of-type(1)>SPAN.hiw-typing:nth-of-type(1)","1","0,00%"
"456","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-brand:nth-of-type(1)>DIV.social-hover:nth-of-type(2)","1","0,00%"
"457","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)","1","0,00%"
"458","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(10)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","1","0,00%"
"459","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>H3:nth-of-type(1)","1","0,00%"
"460","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(1)>DIV:nth-of-type(1)","1","0,00%"
"461","#waPhones>DIV.wa-device:nth-of-type(3)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left.wa-row--hidden:nth-of-type(5)>DIV.wa-bubble.wa-bubble--dark:nth-of-type(1)>SPAN.wa-bubble__sender:nth-of-type(1)","1","0,00%"
"462","#reframe>DIV.container:nth-of-type(1)>DIV.reframe-journey:nth-of-type(2)>DIV.roda:nth-of-type(1)>DIV.roda__scene:nth-of-type(1)>DIV.roda__wheel:nth-of-type(1)>DIV.roda__spinner:nth-of-type(1)>DIV.roda__arm:nth-of-type(3)>DIV.roda__card:nth-of-type(1)>STRONG:nth-of-type(1)","1","0,00%"
"463","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-validate:nth-of-type(2)>DIV.hiw-validate-screen:nth-of-type(1)>DIV.hiw-validate-list:nth-of-type(2)>DIV.hiw-validate-item:nth-of-type(3)>DIV.hiw-validate-item__check.hiw-validate-item__check--adjust:nth-of-type(1)>I.fas.fa-pen:nth-of-type(1)","1","0,00%"
"464","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(2)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-form:nth-of-type(2)>DIV.hiw-form-mockup:nth-of-type(1)>DIV.hiw-form-mockup__body:nth-of-type(2)>DIV.hiw-form-field:nth-of-type(1)>DIV.hiw-form-field__input:nth-of-type(1)","1","0,00%"
"465","#orbitHub>DIV.orbit-hub__node:nth-of-type(7)>DIV.orbit-hub__node-icon:nth-of-type(1)>I.fas.fa-magnifying-glass-chart:nth-of-type(1)","1","0,00%"
"466","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(12)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)","1","0,00%"
"467","#waPhones>DIV.wa-device:nth-of-type(1)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-input:nth-of-type(4)>DIV.wa-input__field:nth-of-type(1)","1","0,00%"
"468","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(4)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)","1","0,00%"
"469","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(8)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)>DIV.pp-mock__big-number:nth-of-type(6)>SMALL:nth-of-type(1)","1","0,00%"
"470","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>DIV.mobile-menu:nth-of-type(2)>DIV.mobile-menu__body:nth-of-type(2)>DIV.mobile-menu__dropdown:nth-of-type(2)>BUTTON.mobile-menu__dropdown-toggle:nth-of-type(1)","1","0,00%"
"471","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>FOOTER.footer:nth-of-type(1)>DIV.container:nth-of-type(1)>DIV.footer-grid:nth-of-type(1)>DIV.footer-column:nth-of-type(4)>UL:nth-of-type(1)>LI:nth-of-type(2)","1","0,00%"
"472","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left.wa-row--hidden:nth-of-type(3)>DIV.wa-bubble.wa-bubble--dark:nth-of-type(1)>SPAN.wa-bubble__meta:nth-of-type(2)","1","0,00%"
"473","#orbitHub>DIV.orbit-hub__node:nth-of-type(6)>DIV.orbit-hub__node-label:nth-of-type(2)","1","0,00%"
"474","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(1)>A:nth-of-type(1)>DIV:nth-of-type(1)>H3:nth-of-type(1)","1","0,00%"
"475","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(3)>DIV.hiw-cinema__card:nth-of-type(2)>DIV.hiw-cinema__scene.hiw-scene-agents:nth-of-type(2)>DIV.hiw-agents-grid:nth-of-type(1)>DIV.hiw-agent:nth-of-type(2)","1","0,00%"
"476","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(3)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)>DIV.pp-mock__row:nth-of-type(6)","1","0,00%"
"477","#backToTop","1","0,00%"
"478","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)","1","0,00%"
"479","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(8)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","1","0,00%"
"480","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>DIV.mobile-menu:nth-of-type(2)>DIV.mobile-menu__body:nth-of-type(2)>A:nth-of-type(1)","1","0,00%"
"481","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(1)","1","0,00%"
"482","#orbitHub>DIV.orbit-hub__node:nth-of-type(2)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__text:nth-of-type(3)","1","0,00%"
"483","#hiwCinema>DIV.hiw-cinema__step:nth-of-type(4)","1","0,00%"
"484","#orbitHub>DIV.orbit-hub__node:nth-of-type(13)>DIV.orbit-hub__node-desc:nth-of-type(3)","1","0,00%"
"485","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(3)>DIV:nth-of-type(3)>UL:nth-of-type(1)>LI:nth-of-type(2)","1","0,00%"
"486","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--left:nth-of-type(5)","1","0,00%"
"487","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__credentials:nth-of-type(2)>DIV.hero-zoom__credential:nth-of-type(5)","1","0,00%"
"488","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(1)>P.testi-quote:nth-of-type(1)","1","0,00%"
"489","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)>DIV.mkt-card__footer:nth-of-type(2)>DIV.mkt-card__source:nth-of-type(1)","1","0,00%"
"490","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(6)>A:nth-of-type(1)>IMG:nth-of-type(1)","1","0,00%"
"491","#orbitHub>DIV.orbit-hub__node:nth-of-type(10)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__tags:nth-of-type(5)>SPAN.orbit-node-card__tag:nth-of-type(3)","1","0,00%"
"492","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column.testi-column--lg:nth-of-type(3)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(2)>DIV.testi-author:nth-of-type(1)>DIV.testi-info:nth-of-type(2)","1","0,00%"
"493","#home>DIV.container:nth-of-type(3)>DIV.hero-zoom__header:nth-of-type(1)>DIV.hero-zoom__credentials:nth-of-type(2)>DIV.hero-zoom__credential:nth-of-type(1)","1","0,00%"
"494","#waPhones>DIV.wa-device:nth-of-type(2)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--right.wa-row--hidden:nth-of-type(2)>DIV.wa-bubble.wa-bubble--green:nth-of-type(1)","1","0,00%"
"495","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-card__title:nth-of-type(1)>I.fa-solid.fa-circle-xmark:nth-of-type(1)","1","0,00%"
"496","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(5)>A:nth-of-type(1)>DIV:nth-of-type(1)>SPAN:nth-of-type(1)","1","0,00%"
"497","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(8)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)","1","0,00%"
"498","#waPhones>DIV.wa-device:nth-of-type(1)>DIV.wa-device__frame:nth-of-type(1)>DIV.wa-chat:nth-of-type(3)>DIV.wa-row.wa-row--right:nth-of-type(4)","1","0,00%"
"499","#depoimentos>DIV.container:nth-of-type(1)>DIV.testi-columns:nth-of-type(2)>DIV.testi-column:nth-of-type(1)>DIV.testi-scroll:nth-of-type(1)>DIV.testi-card:nth-of-type(1)>DIV.testi-author:nth-of-type(1)>DIV.testi-info:nth-of-type(2)","1","0,00%"
"500","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(6)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(3)","1","0,00%"
"501","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(7)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__image:nth-of-type(2)>DIV.platform-panel__mockup-main:nth-of-type(1)>DIV.pp-mock:nth-of-type(1)>DIV.pp-mock__body:nth-of-type(2)>DIV.pp-mock__risk-matrix:nth-of-type(2)>DIV.pp-mock__risk-cell:nth-of-type(1)","1","0,00%"
"502","#olivia>DIV.container:nth-of-type(1)>DIV.olivia-intro:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)","1","0,00%"
"503","#conhecimento>DIV.container:nth-of-type(1)","1","0,00%"
"504","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)>DIV.mkt-card__footer:nth-of-type(2)>DIV.mkt-card__date:nth-of-type(2)","1","0,00%"
"505","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>HEADER.header:nth-of-type(1)>DIV.container:nth-of-type(1)>UL.nav-menu:nth-of-type(1)>LI:nth-of-type(2)>DIV.dropdown.dropdown--sm:nth-of-type(1)>DIV.dropdown__links:nth-of-type(1)>A:nth-of-type(1)>DIV.dd-icon:nth-of-type(1)>I.fas.fa-building:nth-of-type(1)","1","0,00%"
"506","#orbitHub>DIV.orbit-hub__node:nth-of-type(12)>DIV.orbit-hub__node-icon:nth-of-type(1)>I.fas.fa-handshake:nth-of-type(1)","1","0,00%"
"507","#agentes>DIV.revealed:nth-of-type(1)","1","0,00%"
"508","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(6)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>P:nth-of-type(1)","1","0,00%"
"509","#solucoes>DIV.container:nth-of-type(1)>DIV:nth-of-type(2)>DIV:nth-of-type(1)>DIV:nth-of-type(7)>A:nth-of-type(1)>IMG:nth-of-type(1)","1","0,00%"
"510","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(6)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>DIV.platform-panel__badge:nth-of-type(1)","1","0,00%"
"511","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(6)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)>LI:nth-of-type(4)","1","0,00%"
"512","#knowledgeGrid","1","0,00%"
"513","#planos-preview>DIV.container:nth-of-type(2)>DIV:nth-of-type(4)>DIV:nth-of-type(1)>DIV:nth-of-type(3)","1","0,00%"
"514","#custo>DIV.container:nth-of-type(1)>DIV.cost-grid:nth-of-type(2)>DIV.cost-card.cost-card--manual:nth-of-type(1)>DIV.cost-item:nth-of-type(6)>SPAN.cost-item__value:nth-of-type(2)","1","0,00%"
"515","#waDots>BUTTON.wa-dot:nth-of-type(2)","1","0,00%"
"516","HTML>BODY:nth-of-type(1)>DIV:nth-of-type(2)>SECTION.mkt-section:nth-of-type(4)>DIV.container:nth-of-type(2)>DIV.mkt-cards:nth-of-type(2)>DIV.mkt-card.mkt-card--highlight:nth-of-type(1)>P.mkt-card__headline:nth-of-type(1)>STRONG:nth-of-type(1)","1","0,00%"
"517","#orbitHub>DIV.orbit-hub__node:nth-of-type(4)>DIV.orbit-hub__node-icon:nth-of-type(1)","1","0,00%"
"518","#orbitHub>DIV.orbit-hub__node:nth-of-type(6)>DIV.orbit-node-card:nth-of-type(4)>DIV.orbit-node-card__status:nth-of-type(1)","1","0,00%"
"519","#orbitHub>DIV.orbit-hub__node:nth-of-type(11)>DIV.orbit-hub__node-icon:nth-of-type(1)>I.fas.fa-file-lines:nth-of-type(1)","1","0,00%"
"520","#plataforma>DIV.container:nth-of-type(1)>DIV.platform-panels:nth-of-type(3)>DIV.platform-panel:nth-of-type(9)>DIV.platform-panel__content:nth-of-type(1)>DIV.platform-panel__text:nth-of-type(1)>UL.platform-panel__features:nth-of-type(1)","1","0,00%"
